trial,mode,seed,cycles,burst_prob,burst_scale,drift_rate,noise_scale,shock_prob,shock_scale,admissions,denials,latch_events,first_latch_cycle,intervention_precision,resid_p95,resid_p99
18,scout_v2,142584,1793,0.06394118200797683,2.8295332327121336,0.018711934550913994,0.19717449905872617,0.014414016381322867,3.2291384976043513,32,1761,1761,0,0.18181818181818182,0.8,0.8
19,raw_v2,150503,1275,0.06578399501000452,2.4621140225868414,0.008249182109572309,0.15777620123699257,0.016310750840374044,3.5128311931264324,80,1195,1195,0,0.0,1.4133723955300213,1.7635053873456155
19,scout_v2,150503,1275,0.06578399501000452,2.4621140225868414,0.008249182109572309,0.15777620123699257,0.016310750840374044,3.5128311931264324,79,1196,1196,0,0.3504273504273504,0.8,0.8
20,raw_v2,158422,1752,0.11674611436672952,4.026077920337518,0.010529880987149942,0.14018032672856984,0.01728587097673627,6.237223351252296,140,1612,1612,0,0.0,1.8049580848046232,2.4143761262126713
20,scout_v2,158422,1752,0.11674611436672952,4.026077920337518,0.010529880987149942,0.14018032672856984,0.01728587097673627,6.237223351252296,139,1613,1613,0,0.42613636363636365,0.8,0.8
21,raw_v2,166341,1724,0.06369367820955163,1.9951134575340088,0.00953168882671482,0.03388057548764444,0.012708854590850215,2.736029001339023,390,1334,1334,0,0.0,1.0346931383306377,1.0713180422771815
21,scout_v2,166341,1724,0.06369367820955163,1.9951134575340088,0.00953168882671482,0.03388057548764444,0.012708854590850215,2.736029001339023,390,1334,1334,0,0.5401069518716578,0.8,0.8
22,raw_v2,174260,1758,0.01850517628291943,2.9429087790601964,0.015415370784131181,0.14222210539505822,0.013436874566590236,4.056944389040089,155,1603,1603,0,0.0,1.2984643798392417,1.7307113227251254
22,scout_v2,174260,1758,0.01850517628291943,2.9429087790601964,0.015415370784131181,0.14222210539505822,0.013436874566590236,4.056944389040089,155,1603,1603,0,0.450261780104712,0.8,0.8
23,raw_v2,182179,1654,0.11222166202510465,1.3647281272741878,0.008526123919040092,0.16145530454118096,0.019841250865225465,6.317055386382653,87,1567,1567,0,0.0,1.3516297222596285,2.650344424859347
23,scout_v2,182179,1654,0.11222166202510465,1.3647281272741878,0.008526123919040092,0.16145530454118096,0.019841250865225465,6.317055386382653,88,1566,1566,0,0.3049645390070922,0.8,0.8
24,raw_v2,190098,1558,0.026410697896270124,2.7117164805814573,0.012189592316614845,0.16169856273725325,0.006560197585138976,5.855490299483365,83,1475,1475,0,0.0,1.3309792018512159,1.8449436667386703
24,scout_v2,190098,1558,0.026410697896270124,2.7117164805814573,0.012189592316614845,0.16169856273725325,0.006560197585138976,5.855490299483365,84,1474,1474,0,0.3046875,0.8,0.8
25,raw_v2,198017,1193,0.09681128435753747,2.4943609333963304,0.01316166213060066,0.13672471429997834,0.0041581389816736135,5.05166660969949,120,1073,1073,0,0.0,1.3221280787696161,1.6184848472458975
25,scout_v2,198017,1193,0.09681128435753747,2.4943609333963304,0.01316166213060066,0.13672471429997834,0.0041581389816736135,5.05166660969949,116,1077,1077,0,0.49640287769784175,0.8,0.8
26,raw_v2,205936,1551,0.11039830553390176,2.5660121556793754,0.007362198370988265,0.026365188406229992,0.0017702901397895921,3.9852741137856174,356,1195,1195,0,0.0,1.0266625698893002,1.072934167151564
26,scout_v2,205936,1551,0.11039830553390176,2.5660121556793754,0.007362198370988265,0.026365188406229992,0.0017702901397895921,3.9852741137856174,357,1194,1194,0,0.5,0.8,0.8
27,raw_v2,213855,808,0.08032954507632085,3.584828136148195,0.009121028886639031,0.1985640968585678,0.006264023655735869,6.0174281237051135,17,791,791,0,0.0,1.956089933698808,2.5920160461991477
27,scout_v2,213855,808,0.08032954507632085,3.584828136148195,0.009121028886639031,0.1985640968585678,0.006264023655735869,6.0174281237051135,18,790,790,0,0.21212121212121213,0.8,0.8
28,raw_v2,221774,1689,0.05318228446736563,3.4593281591218545,0.007773562148236302,0.054734266689111355,0.014720396127211323,5.697643395601571,340,1349,1349,0,0.0,1.081700448504244,1.322708135567265
28,scout_v2,221774,1689,0.05318228446736563,3.4593281591218545,0.007773562148236302,0.054734266689111355,0.014720396127211323,5.697643395601571,342,1347,1347,0,0.5684210526315789,0.8,0.8
29,raw_v2,229693,1218,0.11537470759746658,3.3392437650316147,0.014984916714103319,0.04262854810442607,0.01044726196781865,5.409836289964172,253,965,965,0,0.0,1.0841186590105152,1.2397635727031444
29,scout_v2,229693,1218,0.11537470759746658,3.3392437650316147,0.014984916714103319,0.04262854810442607,0.01044726196781865,5.409836289964172,249,969,969,0,0.5038167938931297,0.8,0.8
30,raw_v2,237612,1513,0.09903700207646625,2.289005870289391,0.013185998976373504,0.07508377146746908,0.00215293362744599,5.382182908156732,267,1246,1246,0,0.0,1.1328796537325099,1.2695547433158207
30,scout_v2,237612,1513,0.09903700207646625,2.289005870289391,0.013185998976373504,0.07508377146746908,0.00215293362744599,5.382182908156732,266,1247,1247,0,0.5681818181818182,0.8,0.8
31,raw_v2,245531,1777,0.10139746786057112,3.103872609650387,0.00665591802743424,0.11540278246754021,0.011779862228734034,6.160971942536809,218,1559,1559,0,0.0,1.4149145396239522,2.042865849500185
